Chain,Link,Via,Datetime,Summary,Full Content,Rating,summary-processed,full_content-processed,full_content-sentiment,full_content-keywords,district
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-nguyen-chi-thanh,iPhone,2021-03-21 21:22:00,Highlands Coffee - 82***,"Rộng rãi, thoáng mát 👍🏻👍🏻👍🏻
Nhân viên nhiệt tình ☺️☺️☺️
@t4_eattheworld",8.0,highlands coffee 82,rộng rãi thoáng mát nhân viên nhiệt tình t4 eattheworld,positive,"[('eattheworld', 0.04491197687864554), ('rộng rãi', 0.04940384002065631), ('nhiệt tình', 0.04940384002065631), ('rãi thoáng', 0.09700399286574239), ('thoáng mát', 0.09700399286574239)]",Quận 10
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-saigon-mia,Web,2022-06-02 00:06:00,The Coffee House - Saigon Mia,"Cafe ngon, nhan vien than thien 0866583149",9.4,the coffee house saigon mia,cafe ngon nhan vien than thien 0866583149,positive,"[('cafe ngon', 0.04940384002065631), ('than thien', 0.04940384002065631), ('ngon nhan', 0.09700399286574239), ('nhan vien', 0.09700399286574239), ('vien than', 0.09700399286574239)]",Huyện Bình Chánh
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-saigon-mia,iPhone,2020-09-20 21:41:00,The Coffee House - Saigon Mia,"Quay lại sau hơn 3 tháng. Tối cuối tuần luôn đông full bàn. Toà nhà mới đẹp. Không gian quán cũng rất thoải mái cho làm việc, bạn bè tụ họp. Khách ngoài thì gởi xe dưới hầm 4k đi thang máy lên tầng trệt vào quán.",9.0,the coffee house saigon mia,quay lại sau hơn 3 tháng. tối cuối tuần luôn đông full bàn. toà nhà mới đẹp. không gian quán cũng rất thoải mái cho làm việc bạn bè tụ họp. khách ngoài thì gởi xe dưới hầm 4k đi thang máy lên tầng trệt vào quán.,positive,"[('quay lại', 0.04779467364193651), ('quay', 0.17047037297378087), ('hơn', 0.17047037297378087), ('lại', 0.26758046410697744), ('tối cuối', 0.30363195908125523)]",Huyện Bình Chánh
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-saigon-mia,iPhone,2020-06-09 22:52:00,The Coffee House - Saigon Mia,"Quán trang trí rất đẹp, toà nhà rộng hiện đại, chất luợng và giá cả thì thống nhất toàn hệ thống nên không có gì phải bàn :))",9.0,the coffee house saigon mia,quán trang trí rất đẹp toà nhà rộng hiện đại chất luợng và giá cả thì thống nhất toàn hệ thống nên không có gì phải bàn,positive,"[('quán trang', 0.018818151346519908), ('phải bàn', 0.018818151346519908), ('trang trí', 0.031283437983838376), ('trí rất', 0.031283437983838376), ('rất đẹp', 0.031283437983838376)]",Huyện Bình Chánh
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2022-06-22 11:58:00,"Ngọt quá ngọt + không mùi trà, không quay lại Phúc Long ở 968***P15 Q11","Kêu 1 ly lucky tea - không đường , không đá

Khi nhận được ly trà, làm thử 1 ngụm nhỏ thì chịu không nổi cái độ ngọt.",1.0,ngọt quá ngọt không mùi trà không quay lại phúc long ở 968 p15 q11,kêu 1 ly lucky tea không đường không đá khi nhận được ly trà làm thử 1 ngụm nhỏ thì chịu không nổi cái độ ngọt.,negative,"[('ngụm nhỏ', 0.00899321792126428), ('lucky tea', 0.013527995261974615), ('nhỏ thì', 0.013527995261974615), ('thì chịu', 0.013527995261974615), ('nổi cái', 0.013527995261974615)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2021-04-16 22:08:00,"Nay uống TS mà ít hơn mọi bữa cả khúc, đá cũng nhiu hơn. Dù mình uống ở đây rất nhìu lần roy. Nay ko enjoy tí nào",Phúc Long nay lên giá thì phải,4.0,nay uống ts mà ít hơn mọi bữa cả khúc đá cũng nhiu hơn. dù mình uống ở đây rất nhìu lần roy. nay ko enjoy tí nào,phúc long nay lên giá thì phải,None,"[('phúc long', 0.04940384002065631), ('thì phải', 0.04940384002065631), ('long nay', 0.09700399286574239), ('nay lên', 0.09700399286574239), ('lên giá', 0.09700399286574239)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2021-04-04 00:33:00,Dở quá trời,"Uống PL ko nhiều nhưng cực kì thích trà sữa PL ở Nowzone nên thỉnh thoảng vẫn mua, cái mùi trà đậm trời ơi nó thơm. Qua đây kêu cứ nghĩ được ly trà thơm mà đưa cho cái ly nhạt nhách không thấy mùi trà đâu, còn tệ hơn trà sữa 30k uống trong hẻm. Bộ nhân viên cắt xén bớt nguyên liệu pha cho khách hay gì. Không gian thì chật, gò bó.",3.4,dở quá trời,uống pl ko nhiều nhưng cực kì thích trà sữa pl ở nowzone nên thỉnh thoảng vẫn mua cái mùi trà đậm trời ơi nó thơm. qua đây kêu cứ nghĩ được ly trà thơm mà đưa cho cái ly nhạt nhách không thấy mùi trà đâu còn tệ hơn trà sữa 30k uống trong hẻm. bộ nhân viên cắt xén bớt nguyên liệu pha cho khách hay gì. không gian thì chật gò bó.,negative,"[('nhưng cực', 0.031970116391794735), ('nowzone nên', 0.031970116391794735), ('nên thỉnh', 0.031970116391794735), ('thỉnh thoảng', 0.031970116391794735), ('thoảng vẫn', 0.031970116391794735)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-12-04 16:01:00,Thèm,"Mình là người rất hảo trà và cà phê
Đặc biệt là mình rất thích uống những loai nước của phúc long mùi rất là thơm
Nay mình vừa đặt phúc long gần nhà và uống cho đã thèm
Nhưng cái ly không giống như những chi nhánh khác 
Do thèm uống nên mình cũng kệ nước uống thì khỏi phải nói rồi
Mấy bạn nên qua đây uống thử nhé nằm ở lotte mart***ạ
Nếu bạn nào ko biết có thể đặt qua app foody giao tận nơi chúc các bạn ngon miệng .",5.0,thèm,mình là người rất hảo trà và cà phê đặc biệt là mình rất thích uống những loai nước của phúc long mùi rất là thơm nay mình vừa đặt phúc long gần nhà và uống cho đã thèm nhưng cái ly không giống như những chi nhánh khác do thèm uống nên mình cũng kệ nước uống thì khỏi phải nói rồi mấy bạn nên qua đây uống thử nhé nằm ở lotte mart ạ nếu bạn nào ko biết có thể đặt qua app foody giao tận nơi chúc các bạn ngon miệng .,positive,"[('phúc long', 0.006167485814718018), ('ngon miệng', 0.009486459219154862), ('long mùi', 0.01245129196152001), ('long gần', 0.01245129196152001), ('hảo trà', 0.012568722827785593)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-11-17 22:21:00,"Không gian nhỏ, đồ ăn thức uống oke","Mình đi một mình tầm cuối tuần, quán hơi nhỏ, nhân viên lịch sự nhưng ít khách cũng phải dạng gọi lại tự phục vụ thôi. Bánh ngon, ổn, mềm. Thức uống oke, nhiều, đáng tiền. Hơi ít chỗ cắm điện và không gian hạn chế nên khó riêng tư. Phải giữ xe dưới hầm TTTM nên ko biết mua về thì sao nè.",6.6,không gian nhỏ đồ ăn thức uống oke,mình đi một mình tầm cuối tuần quán hơi nhỏ nhân viên lịch sự nhưng ít khách cũng phải dạng gọi lại tự phục vụ thôi. bánh ngon ổn mềm. thức uống oke nhiều đáng tiền. hơi ít chỗ cắm điện và không gian hạn chế nên khó riêng tư. phải giữ xe dưới hầm tttm nên ko biết mua về thì sao nè.,positive,"[('tầm cuối', 0.08432405421011256), ('cuối tuần', 0.08432405421011256), ('tuần quán', 0.08432405421011256), ('nhỏ nhân', 0.08432405421011256), ('nhân viên', 0.08432405421011256)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Web,2019-07-25 14:40:00,Thất vọng,"Mình uống PL được một thời gian và được ưu đãi thẻ thành viên Diamond (do uống trên 10 triệu, ưu đãi là được giiảm 15% trên mỗi order). Ngày thường mình dùng thẻ thành viên mua nước và thanh toán bằng GrabPay (do GrabPay có chương trình hoàn tiền 20%). Tới nay thì nhân viên báo lại là không chấp nhận thanh toán bằng GrabPay do mình trả bằng thẻ Diamond, mà không có thông báo nào chính thức, mình đọc điều khoản cũng không hề thấy quy định này. Vì một bên là chương trình ưu đãi thành viên thân thiết của Phúc Long, một bên là hình thức thanh toán của GrabPay, hầu như không liên quan gì nhau. Mình tự hỏi nếu có quy định này thì chương trình thành viên Diamond có ý nghĩa gì vậy? Khách hàng bình thường vẫn charge bằng GrabPay và được hoàn tiền, nhưng thành viên Diamond thì không? Sao ngược đời vậy? Mình nghĩ đây là sẽ lần cuối cùng mình mua nước ở PL nếu PL vẫn không có thông báo rõ ràng.",3.4,thất vọng,mình uống pl được một thời gian và được ưu đãi thẻ thành viên diamond do uống trên 10 triệu ưu đãi là được giiảm 15 trên mỗi order . ngày thường mình dùng thẻ thành viên mua nước và thanh toán bằng grabpay do grabpay có chương trình hoàn tiền 20 . tới nay thì nhân viên báo lại là không chấp nhận thanh toán bằng grabpay do mình trả bằng thẻ diamond mà không có thông báo nào chính thức mình đọc điều khoản cũng không hề thấy quy định này. vì một bên là chương trình ưu đãi thành viên thân thiết của phúc long một bên là hình thức thanh toán của grabpay hầu như không liên quan gì nhau. mình tự hỏi nếu có quy định này thì chương trình thành viên diamond có ý nghĩa gì vậy khách hàng bình thường vẫn charge bằng grabpay và được hoàn tiền nhưng thành viên diamond thì không sao ngược đời vậy mình nghĩ đây là sẽ lần cuối cùng mình mua nước ở pl nếu pl vẫn không có thông báo rõ ràng.,negative,"[('thành viên', 0.015638907217971273), ('thanh toán', 0.019149001403705266), ('thẻ thành', 0.023909192265305516), ('chương trình', 0.030099814333417713), ('mỗi order', 0.030413901123293088)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-06-26 03:16:00,Phúc Long Coffee & Tea - Lotte Mart Lê Đại Hành,Địa điểm hơi khá bất tiện và không gian quá hẹp. Chỉ đủ sức chứa khoảng 25 đến 30 người là cùng. Nước uống tạm ổn và không ngon như các chuỗi Phúc Long ở những nơi khác. Có lẽ đây là nơi dở nhất mà mình uống ^^.,5.0,phúc long coffee tea lotte mart lê đại hành,địa điểm hơi khá bất tiện và không gian quá hẹp. chỉ đủ sức chứa khoảng 25 đến 30 người là cùng. nước uống tạm ổn và không ngon như các chuỗi phúc long ở những nơi khác. có lẽ đây là nơi dở nhất mà mình uống .,negative,"[('địa điểm', 0.050960122248462324), ('quá hẹp', 0.050960122248462324), ('điểm hơi', 0.08203834430499707), ('hơi khá', 0.08203834430499707), ('khá bất', 0.08203834430499707)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-05-08 17:47:00,Phúc Long Coffee & Tea - Lotte Mart Lê Đại Hành,"Nước vẫn vậy như nhưng chi nhánh khác , nhưng chổ này nhỏ xíu ah, cảm giác chật chọi
Được khoảng 30 người là đầy luôn..",7.4,phúc long coffee tea lotte mart lê đại hành,nước vẫn vậy như nhưng chi nhánh khác nhưng chổ này nhỏ xíu ah cảm giác chật chọi được khoảng 30 người là đầy luôn..,negative,"[('nước vẫn', 0.019023450631677305), ('đầy luôn.', 0.019023450631677305), ('vẫn vậy', 0.03161515458398575), ('chi nhánh', 0.03161515458398575), ('nhánh khác', 0.03161515458398575)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2019-04-01 19:14:00,Phúc Long Coffee & Tea - Lotte Mart Lê Đại Hành,"Trà sen kem sữa ngon, nhưng lại pha trà nóng vào li nhựa, làm li bị móp méo. Hi vọng quán xem lại cách pha chế, vì nhựa nóng chảy vào li thì thật sự rất nguy hiểm và không có can đảm để uống đâu ạ. Phúc Long là 1 brand lớn nên mong quán sẽ khắc phục tình trạng làm việc thiếu an toàn như vậy ạ!!",4.2,phúc long coffee tea lotte mart lê đại hành,trà sen kem sữa ngon nhưng lại pha trà nóng vào li nhựa làm li bị móp méo. hi vọng quán xem lại cách pha chế vì nhựa nóng chảy vào li thì thật sự rất nguy hiểm và không có can đảm để uống đâu ạ. phúc long là 1 brand lớn nên mong quán sẽ khắc phục tình trạng làm việc thiếu an toàn như vậy ạ,negative,"[('móp méo', 0.02358058017131606), ('sen kem', 0.034789433824605066), ('kem sữa', 0.034789433824605066), ('sữa ngon', 0.034789433824605066), ('ngon nhưng', 0.034789433824605066)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2019-03-30 21:07:00,Phúc Long Lotte Mart Lê Đại Hành,"Sai món , không đúng như hàng mà mình đã đặt ! Mình đặt 1 Trà chanh , 1 trà sữa đặc biệt và 1 trà sữa Phúc Long , nhưng đễn khi giao hàng thì đã sai 2 món , bạn shipper đã giao cho mình 1 trà chanh , 1 trà sữa cà phê và 1 matcha sữa ! Thạch ngon , đầy đủ nhưng lại sai nước ! Mình hi vọng là tiệm sẽ khắc phục !!! 🙁",5.0,phúc long lotte mart lê đại hành,sai món không đúng như hàng mà mình đã đặt mình đặt 1 trà chanh 1 trà sữa đặc biệt và 1 trà sữa phúc long nhưng đễn khi giao hàng thì đã sai 2 món bạn shipper đã giao cho mình 1 trà chanh 1 trà sữa cà phê và 1 matcha sữa thạch ngon đầy đủ nhưng lại sai nước mình hi vọng là tiệm sẽ khắc phục,negative,"[('trà chanh', 0.0018695432890027644), ('trà sữa', 0.00239822686471677), ('khắc phục', 0.009293964312489463), ('trà', 0.010954420975528316), ('matcha sữa', 0.011216669498212605)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2018-12-10 18:38:00,Ngày càng dễ thương,"Mình đi dịp cuối tháng, trời se lạnh, quán đông nhưng nvien khá nhạy thấy khách ra liền nên tụi mình biết có chỗ. Bánh brownie chocolate hơi bị cứng, nvien có hỏi cần hâm nóng để làm chảy socola ko mình nói ko nhưng thật ra là nên hâm đó vì bánh ngon nhưng khá cứng. Mình ngồi bàn chung sau có mấy cô lớn tuổi ghép bàn cũng hỏi đủ thứ nhưng uống mỗi thức uống nóng ah :)) 2 mình gọi 2 ly trà sữa PL, ly mình add thêm bánh flan trà xanh nữa. Ly giấy có viết chữ khá là kute, bạn mình thích lắm luôn. Quán cho trả thẻ atm & nvien rất rất lịch sự, nhẹ nhàng dù mình gặp toàn bạn mới luôn.",7.6,ngày càng dễ thương,mình đi dịp cuối tháng trời se lạnh quán đông nhưng nvien khá nhạy thấy khách ra liền nên tụi mình biết có chỗ. bánh brownie chocolate hơi bị cứng nvien có hỏi cần hâm nóng để làm chảy socola ko mình nói ko nhưng thật ra là nên hâm đó vì bánh ngon nhưng khá cứng. mình ngồi bàn chung sau có mấy cô lớn tuổi ghép bàn cũng hỏi đủ thứ nhưng uống mỗi thức uống nóng ah 2 mình gọi 2 ly trà sữa pl ly mình add thêm bánh flan trà xanh nữa. ly giấy có viết chữ khá là kute bạn mình thích lắm luôn. quán cho trả thẻ atm nvien rất rất lịch sự nhẹ nhàng dù mình gặp toàn bạn mới luôn.,positive,"[('dịp cuối', 0.03899665522952143), ('nhạy thấy', 0.03899665522952143), ('thấy khách', 0.03899665522952143), ('liền nên', 0.06019316293570672), ('nên tụi', 0.06019316293570672)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,MobileWeb,2018-09-02 20:45:00,Dở nhất trong các nơi PL mình từng uống.,"Mỗi thương hiệu mình có 1 loại thức uống yêu thích khác nhau, ở PL mình chỉ uống mỗi 1 loại trà ô long sữa (cold). Hôm nay bạn mình ghé mua 2 ly, mang ra trên lạnh dưới nóng và phía dưới rất ngọt.
Sau khi khuấy 1 lúc để lạnh đều thì uống vẫn đậm vị ngọt và sữa k có mùi thơm đặc trưng của trà ôlong như mình đã từng uống và thích ở thương hiệu này.
Những chi nhánh khác nếu có tình cờ đi ngang mình mua uống chưa bị nv bao giờ
Thật sự thất vọng!",4.2,dở nhất trong các nơi pl mình từng uống.,mỗi thương hiệu mình có 1 loại thức uống yêu thích khác nhau ở pl mình chỉ uống mỗi 1 loại trà ô long sữa cold . hôm nay bạn mình ghé mua 2 ly mang ra trên lạnh dưới nóng và phía dưới rất ngọt. sau khi khuấy 1 lúc để lạnh đều thì uống vẫn đậm vị ngọt và sữa k có mùi thơm đặc trưng của trà ôlong như mình đã từng uống và thích ở thương hiệu này. những chi nhánh khác nếu có tình cờ đi ngang mình mua uống chưa bị nv bao giờ thật sự thất vọng,negative,"[('loại thức', 0.025551820467231465), ('hôm nay', 0.029042752147071086), ('nay bạn', 0.03784875499751674), ('thương hiệu', 0.03923315152311703), ('dưới nóng', 0.03944985219402483)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2018-08-05 11:10:00,Bánh mì nhiều nhân!,"Hôm nay cuối tuần rảnh rỗi thử bánh mì của Phúc Long, trà sữa thì rất ngon nên hi vọng bánh mì cũng sẽ ngon. Khi order bánh mì mình nói rõ là không lấy ruốc các bạn bán nói là không có ruốc mà cuối cùng cũng bỏ vào bánh mì của mình, mình thật sự không hiểu các bạn ấy. Bánh mì thì nhiều nhân nhưng không có gì đặc biệt chỉ khác là nhiều thịt hơn bánh mì thường nên với giá 29k thì mình không phải fan của bánh mì Phúc Long.",6.0,bánh mì nhiều nhân,hôm nay cuối tuần rảnh rỗi thử bánh mì của phúc long trà sữa thì rất ngon nên hi vọng bánh mì cũng sẽ ngon. khi order bánh mì mình nói rõ là không lấy ruốc các bạn bán nói là không có ruốc mà cuối cùng cũng bỏ vào bánh mì của mình mình thật sự không hiểu các bạn ấy. bánh mì thì nhiều nhân nhưng không có gì đặc biệt chỉ khác là nhiều thịt hơn bánh mì thường nên với giá 29k thì mình không phải fan của bánh mì phúc long.,negative,"[('hôm nay', 0.018399869877589552), ('phúc long', 0.02204404739673377), ('tuần rảnh', 0.02265414405189421), ('rảnh rỗi', 0.02265414405189421), ('rỗi thử', 0.02265414405189421)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2018-06-12 00:58:00,Phúc Long Coffee & Tea House - Lotte Mart Lê Đại Hành,Quán nằm trong siêu thị lotte q11. Nước uống ok. Không gian quân không rộng lắm. Nếu đi xe là d đánh 1 vòng gửi xe r mới tới quán. Hơi bất tiẹn xíu thui ☺️,8.0,phúc long coffee tea house lotte mart lê đại hành,quán nằm trong siêu thị lotte q11. nước uống ok. không gian quân không rộng lắm. nếu đi xe là d đánh 1 vòng gửi xe r mới tới quán. hơi bất tiẹn xíu thui,None,"[('thị lotte', 0.04617035085604142), ('siêu thị', 0.0745923739209694), ('lotte', 0.16750795236442403), ('quán nằm', 0.18144817326491436), ('nằm', 0.26346646070893304)]",Quận 11
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2018-05-14 12:50:00,"Đậm vị trà, thơm",Hôm nay quay lại Phúc Long sau bao lâu uống R&B thấy trà sữa vẫn chất như xưa. Đậm vị trà chứ k có nhiêud bột béo như trà sữa rẻ tiền khác. Gọi li Trà đào sữa M 35K và Oolong sữa M 40K thì Oolong ngon hơn. Tuy nhiên hồi trước mua Trà đào sữa là có kèm 3 miếng đào luôn mà ở chi nhánh này k có. K biết có phải do đổi công thức k :)) . Li in hoa xinh dã man.,9.2,đậm vị trà thơm,hôm nay quay lại phúc long sau bao lâu uống r b thấy trà sữa vẫn chất như xưa. đậm vị trà chứ k có nhiêud bột béo như trà sữa rẻ tiền khác. gọi li trà đào sữa m 35k và oolong sữa m 40k thì oolong ngon hơn. tuy nhiên hồi trước mua trà đào sữa là có kèm 3 miếng đào luôn mà ở chi nhánh này k có. k biết có phải do đổi công thức k . li in hoa xinh dã man.,positive,"[('hôm nay', 0.0326903947364337), ('nay quay', 0.04251193222920426), ('quay lại', 0.04251193222920426), ('lại phúc', 0.04251193222920426), ('phúc long', 0.04251193222920426)]",Quận 11
