Chain,Link,Via,Datetime,Summary,Full Content,Rating
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2021-04-04 00:33:00,Dở quá trời,"Uống PL ko nhiều nhưng cực kì thích trà sữa PL ở Nowzone nên thỉnh thoảng vẫn mua, cái mùi trà đậm trời ơi nó thơm. Qua đây kêu cứ nghĩ được ly trà thơm mà đưa cho cái ly nhạt nhách không thấy mùi trà đâu, còn tệ hơn trà sữa 30k uống trong hẻm. Bộ nhân viên cắt xén bớt nguyên liệu pha cho khách hay gì. Không gian thì chật, gò bó.",3.4
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-12-04 16:01:00,Thèm,"Mình là người rất hảo trà và cà phê
Đặc biệt là mình rất thích uống những loai nước của phúc long mùi rất là thơm
Nay mình vừa đặt phúc long gần nhà và uống cho đã thèm
Nhưng cái ly không giống như những chi nhánh khác 
Do thèm uống nên mình cũng kệ nước uống thì khỏi phải nói rồi
Mấy bạn nên qua đây uống thử nhé nằm ở lotte mart***ạ
Nếu bạn nào ko biết có thể đặt qua app foody giao tận nơi chúc các bạn ngon miệng .",5.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-11-17 22:21:00,"Không gian nhỏ, đồ ăn thức uống oke","Mình đi một mình tầm cuối tuần, quán hơi nhỏ, nhân viên lịch sự nhưng ít khách cũng phải dạng gọi lại tự phục vụ thôi. Bánh ngon, ổn, mềm. Thức uống oke, nhiều, đáng tiền. Hơi ít chỗ cắm điện và không gian hạn chế nên khó riêng tư. Phải giữ xe dưới hầm TTTM nên ko biết mua về thì sao nè.",6.6
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Web,2019-07-25 14:40:00,Thất vọng,"Mình uống PL được một thời gian và được ưu đãi thẻ thành viên Diamond (do uống trên 10 triệu, ưu đãi là được giiảm 15% trên mỗi order). Ngày thường mình dùng thẻ thành viên mua nước và thanh toán bằng GrabPay (do GrabPay có chương trình hoàn tiền 20%). Tới nay thì nhân viên báo lại là không chấp nhận thanh toán bằng GrabPay do mình trả bằng thẻ Diamond, mà không có thông báo nào chính thức, mình đọc điều khoản cũng không hề thấy quy định này. Vì một bên là chương trình ưu đãi thành viên thân thiết của Phúc Long, một bên là hình thức thanh toán của GrabPay, hầu như không liên quan gì nhau. Mình tự hỏi nếu có quy định này thì chương trình thành viên Diamond có ý nghĩa gì vậy? Khách hàng bình thường vẫn charge bằng GrabPay và được hoàn tiền, nhưng thành viên Diamond thì không? Sao ngược đời vậy? Mình nghĩ đây là sẽ lần cuối cùng mình mua nước ở PL nếu PL vẫn không có thông báo rõ ràng.",3.4
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-06-26 03:16:00,Phúc Long Coffee & Tea - Lotte Mart Lê Đại Hành,Địa điểm hơi khá bất tiện và không gian quá hẹp. Chỉ đủ sức chứa khoảng 25 đến 30 người là cùng. Nước uống tạm ổn và không ngon như các chuỗi Phúc Long ở những nơi khác. Có lẽ đây là nơi dở nhất mà mình uống ^^.,5.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2019-05-08 17:47:00,Phúc Long Coffee & Tea - Lotte Mart Lê Đại Hành,"Nước vẫn vậy như nhưng chi nhánh khác , nhưng chổ này nhỏ xíu ah, cảm giác chật chọi
Được khoảng 30 người là đầy luôn..",7.4
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2019-04-01 19:14:00,Phúc Long Coffee & Tea - Lotte Mart Lê Đại Hành,"Trà sen kem sữa ngon, nhưng lại pha trà nóng vào li nhựa, làm li bị móp méo. Hi vọng quán xem lại cách pha chế, vì nhựa nóng chảy vào li thì thật sự rất nguy hiểm và không có can đảm để uống đâu ạ. Phúc Long là 1 brand lớn nên mong quán sẽ khắc phục tình trạng làm việc thiếu an toàn như vậy ạ!!",4.2
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2019-03-30 21:07:00,Phúc Long Lotte Mart Lê Đại Hành,"Sai món , không đúng như hàng mà mình đã đặt ! Mình đặt 1 Trà chanh , 1 trà sữa đặc biệt và 1 trà sữa Phúc Long , nhưng đễn khi giao hàng thì đã sai 2 món , bạn shipper đã giao cho mình 1 trà chanh , 1 trà sữa cà phê và 1 matcha sữa ! Thạch ngon , đầy đủ nhưng lại sai nước ! Mình hi vọng là tiệm sẽ khắc phục !!! 🙁",5.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2018-12-10 18:38:00,Ngày càng dễ thương,"Mình đi dịp cuối tháng, trời se lạnh, quán đông nhưng nvien khá nhạy thấy khách ra liền nên tụi mình biết có chỗ. Bánh brownie chocolate hơi bị cứng, nvien có hỏi cần hâm nóng để làm chảy socola ko mình nói ko nhưng thật ra là nên hâm đó vì bánh ngon nhưng khá cứng. Mình ngồi bàn chung sau có mấy cô lớn tuổi ghép bàn cũng hỏi đủ thứ nhưng uống mỗi thức uống nóng ah :)) 2 mình gọi 2 ly trà sữa PL, ly mình add thêm bánh flan trà xanh nữa. Ly giấy có viết chữ khá là kute, bạn mình thích lắm luôn. Quán cho trả thẻ atm & nvien rất rất lịch sự, nhẹ nhàng dù mình gặp toàn bạn mới luôn.",7.6
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,MobileWeb,2018-09-02 20:45:00,Dở nhất trong các nơi PL mình từng uống.,"Mỗi thương hiệu mình có 1 loại thức uống yêu thích khác nhau, ở PL mình chỉ uống mỗi 1 loại trà ô long sữa (cold). Hôm nay bạn mình ghé mua 2 ly, mang ra trên lạnh dưới nóng và phía dưới rất ngọt.
Sau khi khuấy 1 lúc để lạnh đều thì uống vẫn đậm vị ngọt và sữa k có mùi thơm đặc trưng của trà ôlong như mình đã từng uống và thích ở thương hiệu này.
Những chi nhánh khác nếu có tình cờ đi ngang mình mua uống chưa bị nv bao giờ
Thật sự thất vọng!",4.2
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2018-08-05 11:10:00,Bánh mì nhiều nhân!,"Hôm nay cuối tuần rảnh rỗi thử bánh mì của Phúc Long, trà sữa thì rất ngon nên hi vọng bánh mì cũng sẽ ngon. Khi order bánh mì mình nói rõ là không lấy ruốc các bạn bán nói là không có ruốc mà cuối cùng cũng bỏ vào bánh mì của mình, mình thật sự không hiểu các bạn ấy. Bánh mì thì nhiều nhân nhưng không có gì đặc biệt chỉ khác là nhiều thịt hơn bánh mì thường nên với giá 29k thì mình không phải fan của bánh mì Phúc Long.",6.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2018-06-12 00:58:00,Phúc Long Coffee & Tea House - Lotte Mart Lê Đại Hành,Quán nằm trong siêu thị lotte q11. Nước uống ok. Không gian quân không rộng lắm. Nếu đi xe là d đánh 1 vòng gửi xe r mới tới quán. Hơi bất tiẹn xíu thui ☺️,8.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2018-05-14 12:50:00,"Đậm vị trà, thơm",Hôm nay quay lại Phúc Long sau bao lâu uống R&B thấy trà sữa vẫn chất như xưa. Đậm vị trà chứ k có nhiêud bột béo như trà sữa rẻ tiền khác. Gọi li Trà đào sữa M 35K và Oolong sữa M 40K thì Oolong ngon hơn. Tuy nhiên hồi trước mua Trà đào sữa là có kèm 3 miếng đào luôn mà ở chi nhánh này k có. K biết có phải do đổi công thức k :)) . Li in hoa xinh dã man.,9.2
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2018-04-06 23:58:00,Pha ổn nhưng không gian hơi nhỏ,"Trước mình uống bên đây được 1 lần, mua về, sáng chưa ăn gì uống trà hoa hồng tự nhiên mắc ói rồi sợ luôn, ngay dịp khai trương nữa. Nay đi học về trễ, tính qua RomeA uống trà sữa mà hơi xa, sợ đóng cửa nên qua đây. Tụi mình gọi 1 trà sữa PL & 1 Olong sữa, all đá & size vừa, thêm 1 bánh flan trà xanh nhưg ko add vào trà sữa mà ăn riêng (20k). Tổng cộng hết tròn 100k.
Quán do đi khá trễ vs cũng gần tới giờ đóng cửa, lại ko phải t7 cn nên cũng còn dư tầm 4 bàn đôi vs bàn dài ko ai ngồi. Nhân viên lịch sự, chào hỏi tận tình từ lúc bước vô vs tính tiền, nói chuyện nhẹ nhàng. Thiết nghĩ PL nên có thêm cái sọt rác bên trong, chỗ nào đó dễ thấy để khách tự ý bỏ rác ko thì lâu lâu gặp khách vô ý thức lại thành nhìn bẩn bẩn. 
Trà sữa bên này ko ngon bằng RomeA, bù lại ko gian đẹp, có view và lắp kính nhìn thoáng + sáng hơn (so vs cả Vạn Hạnh Mall)",7.2
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2018-02-27 14:50:00,Phúc Long Coffee & Tea House - Lotte Mart Lê Đại Hành,"Đi siêu thị ghé vào mua ly Olong sữa size lớn 50k, đợi chờ khá lâu, khách đông nên cũng không có chỗ ngồi mà phải đứng đợi. Đây là lần đầu uống olong ở đây, đậm vị trà hơn so với mấy chỗ khác thật, sữa béo không ngấy, có bọt sữa đầy trong ly, nhưng quá nhiều đá dù đã bảo ít đá, nên uống vài rột là hết trơn 😥 nhìn chung ngon và chất lượng.",7.6
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2018-02-11 20:18:00,Phúc Long Coffee & Tea House - Lotte Mart Lê Đại Hành,"Ở quận 11 mà uống Phúc Long phải đi xa nên hơi k thích.
Mà nghe tin Phúc Long mở ở Lotte Mart q11 nên vui quá trời vì gần nhà. Từ giờ muốn uống k phải đi xa nữa rồi.
Vẫn là Trà sữa PL thân thuộc. Vẫn đậm vị trà, độ ngọt vừa phải. Uống 1 lần là sẽ uống quài.
PL nằm ngay tầng trệt của Lotte mart. Mà bị cái không gian nhỏ quá. Bữa đi cũng không đông mấy mà vẫn k có chỗ ngồi, phải đợi ngkhac về rồi mới vào ngồi được.
Mọi thứ khác đều ổn. 
Nhân viên thân thiện.
Sẽ ghé thường xuyên.",7.6
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2018-01-07 18:28:00,Phúc Long Coffee & Tea House - Lotte Mart Lê Đại Hành,"Phúc Long ở đây cũng mới khai trương, nằm ở tầng trệt lotte luôn. 
Không gian ở đây cũng nhỏ chứ k rộng. 
- Trà đào (40k): size vừa, ít đá. Theo mình hình như chỉ có ở q1 thì trà đào mới pha ngon. Trà đào ở đây trà nhiều nên khá đắng, bạn mình phải xin thêm syrup để uống. Trà màu khá đậm, nv nói do trà ngâm lâu nên có màu như vậy. 
- Trà là vải (40k): size vừa, ít đá. Đây là lần đầu mình uống món này, ngon. Vừa uống, chua ngọt vừa phải. Hình như được 4 trái vải. Vải ngon, ngọt, ăn thích lắm. Chắc sẽ uống món này dài dài :)) 
PL đợt trước um xùm vụ code wifi nên giờ bỏ luôn rồi, giờ chỉ có pass và xài thoải mái, nhưng vào cũng k dc, may mà ở đây có wifi của lotte.",8.2
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2017-12-19 19:57:00,Chi nhánh mới!,"Mình ở Q10 nên mỗi lần uống Phúc Long phải chạy ra Q1 mới có. Nay nghe tin Phúc Long đã về lotte mart Lê Đại Hành nên đi liền.
Chắc phải 2-3 năm rồi mới quay lại lotte mart này. Mọi thứ không khác mấy trừ mỗi việc Phúc Long đã xuất hiện :)). Ban đầu mình tính ghé qua, mua về thôi, nhưng do thấy chỗ này không có nhân viên ra order như Now Zone nên thôi lũi xuống hầm xe luôn. Mình uống trà sữa Olong nhỏ. PL vẫn thế lúc nào chả ngon! Ly nhỏ 35k nhé!
Bên trong decor nhiều hoa, thơm thơm, không quá nghẹt khách nên mình thích!",8.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-911-nguyen-anh-thu,Web,2022-05-19 19:15:00,Phúc Long 911 Nguyễn Ảnh Thủ,Ngon hơn so với chổ khác,5.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-chung-cu-12-view,iPhone,2022-04-08 13:47:00,Tệ,"Quá tệ. Oder 2 ly note rõ ràng để đá riêng, 70% đường. Ship giao tới, đá bỏ chung, đường full. Hình thức bán online mà nhận đơn ko đọc note của khách à? Thua",3.4
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,iPhone,2022-04-19 23:17:00,Starbucks Coffee - The Vista An Phú,"- Chi nhánh yêu thích của minh. Không gian thoáng, dễ chịu, tối ra ngoài ngồi mát lắm, ngắm Xa Lộ Hà Nội. Nhân viên thì bình thường thôi, lịch sự. Mà Starbucks ở khu này mở gần lắm luôn lên tí xíu có ở Gateway, ngay Thảo Điền có thêm cái nữa, xéo xéo Vista là có ở Estella, mà mình vẫn thích ngồi bên Vista nhất.
- Món yêu thích luôn: Greentea Latte, thay sữa đậu nành, ít đá. 
- Lúc trước dịch Dooki với 4P’s còn mở food truck ở Vista mà dịch Covid xong cái dẹp hết rùi.",8.4
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,iPhone,2020-07-26 00:50:00,Starbucks Coffee - The Vista An Phú,"Nhân viện ko còn thân thiện hay ân cần khách , nước làm cũng đi xuống tay nghề so với những đợt đầu mình đi , mocha frap quá ngọt ko nghe mùi cf luôn . Nchung ko gian ổn có điều service đi xuống",6.0
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,iPhone,2020-04-09 10:45:00,Starbucks Coffee - The Vista An Phú,order 1 yuzu cold brew 1 macchiato cuối cùng nhận dc 2 macchiato hahaa,9.6
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,iPhone,2020-03-14 10:39:00,Starbucks Coffee - The Vista An Phú,"• Nằm trong khu Vista An Phú, kế bên hầm gửi xe nên cũng dễ đi lại.

• Mình thử Vanilla Cream Frappuccino, về giá mình nhớ đại khái cũng hơn 100k. Hương vị cũng khá ngon, đậm mùi sữa, nói chung ổn, có thể thử lại.

• Không gian rộng nhưng không có quá nhiều chỗ ngồi, cả khu máy lạnh lẫn ngoài trời. Khuyến cáo nên đi buổi tối và ngồi khu ngoài vì rất mát và đẹp.

• Bạn nhân viên lịch sự chứ không nhiệt tình lắm.

• Sẽ quay lại thử thức uống khác .",7.0
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,Android,2018-12-28 17:08:00,Starbucks Coffee - The Vista An Phú,"Món nước noel ko có gì đặc biệt.
Ngồi ngoài trời thoải mái.",7.8
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,iPhone,2018-11-30 08:54:00,Best service,"Dịch vụ tốt, đồ ân uống đều ngon. Love",8.2
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,Android,2018-03-21 10:21:00,Starbucks Coffee - The Vista An Phú,"- Mình ăn Gaxeo trong tòa nhà xong bay qua đây uống nước. Hôm mình đi là thứ 7 nên SB khá đông, do còn nắng nên mình ngại ra ngoài ngồi. Mình với mấy đứa bạn thử 2 trong 3 loại nước mới sau:
+ Macadamia Cocoa Cappuccino: mình chọn dòng Frappuccino nhé, ly này hơi ngọt lần sau chắc mình sẽ giảm ngọt chút. Lớp đá xay mịn, thơm cafe, phía trên whipping cream có hạt Maca nhai vui vui và sauce choco.
+ Butterfly Pea Lemonade Cold Brew: mình thì chẳng rành về cafe nên ko dám bình luận đâu. Có nhấp thử của bạn mình và cảm thấy không hợp (đấy có biết uống cafe đâu). Có vị chua chua nói chung cùng khó tả lắm.
- Nhân viên nhiệt tình. Mình có xin thêm pass wifi nhân viên vẫn cho thêm. Chiều tắt nắng tụi mình dời ra ngoài ngồi. Gió thì cứ mát lồng lộng ấy, chiều tối ra ngồi là hết sẩy! Ngắm dòng xe ngoài xa lộ hà nội qua lại cũng vui. Kiểu bên trong chỗ mình ngồi thì yên bình mà cách đó vài mét thì cứ tấp nập.",8.2
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,Web,2018-01-07 19:37:00,Starbucks Coffee - The Vista An Phú,"Starbucks này mới mở chỗ nhà mình nên ghé ra ngồi với bạn. Tụi mình gọi matcha - coffee fushion, món này của mùa cũ mà vào menu chính luôn rồi, siêu thích em này luôn í. Bên trên là cafe, giữa là sữa và dưới là matcha uống rất hợp. 

Bánh wooper pie ngon, lớp kem giữa béo béo, bên ngoài là bánh kiểu red velvet dễ ăn. Yogurt mango parfait ok, kinh nghiệm là múc bớt lớp jam bên trên vì lớp jam ngọt lắm, ăn sẽ ngon hơn trộn hết vào. Bên trên topping có thêm mấy hạt gạo nổ ăn thơm thơm bùi bùi.

Ko gian quán nhỏ, khá đông khách. Nhân viên siêu nhiệt tình thân thiện luôn!!!!",7.0
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,iPhone,2017-11-26 12:04:00,Starbucks Coffee - The Vista An Phú,"Mấy món này là món mới của Starbucks cho mùa Giáng Sinh. Nước uống cũng được, không tệ nhưng không hợp khẩu vị của mình.
Starbucks ở đây bao vắng, bao yên ắng, không sợ không có chỗ ngồi. Mỗi tội nhân viên hơi tào lao tý về việc xin mấy cái bao giấy đựng mấy cái ly.",9.0
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,iPhone,2017-07-31 16:27:00,Starbucks Coffee - The Vista An Phú,"Quán này nằm trong căn hộ the vista an phú nên bình thường khá vắng chủ yếu là khách ở căn hộ thôi. Nên quán yên tĩnh, rộng rãi, mát mẻ lắm.
Về nhân viên thì nhân viên starbuck chi nhánh nào phục vụ cũng tốt, chuyên nghiệp hết rồi nên mình không bàn đến nữa.
Đồ uống thì mình thấy matcha latte vẫn là món ok nhất trong menu. 
Giá cả : 90k-130k . Nhưng mà mình thấy giá này là phù hợp với chất lượng thương hiệu cũng như cung cách phục vụ của quán rồi.",7.8
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,Web,2017-03-16 14:13:00,Starbucks Coffee - The Vista An Phú,"Thấy nhiều người bảo Grean tea của Starbucks uống ngon nên hôm rồi mình cũng thử một lần cho biết. 
Nếu mà mang theo ly của mình thì sẽ được giảm giá 10 ngàn nên tổng thiệt hại là 70 ngàn đồng.
Nước uống ngon thiệt. Mùi vị rất thơm, không quá ngọt. Nếu mà mình mang theo ly trong là mọi người có thể thấy được cái màu xanh của thức uống này rồi.",10.0
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,Web,2017-02-27 17:45:00,Starbucks Coffee - The Vista An Phú,"Món mới của Starbucks hơi khó uống. Đây là sự kết hợp của cà phê và matcha. Món này bên trong không có sữa nhé. Vì có thẻ thành viên nên mình được upsize miễn phí. Một ly như vậy hết 85 ngàn đồng.
Quán vắng nên thức uống được làm rất nhanh, khong phải chờ đợi.
Nhân viên quầy rất dễ thương, tư vấn nhiệt tình.",8.8
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-the-vista-an-phu,Web,2017-01-13 09:54:00,Starbucks Coffee - The Vista An Phú,"Chesnut chocolate giá 95 ngàn đồng. Cái này thức uống mới của Starbucks nè. Uống cũng ngộ lắm, nhưng mình không thích lắm, Uống rồi vẫn thích sô cô la đá xay thôi. Nếu không thích cà phê thì nhớ dặn nhân viên. Nhưng nghe đâu cà phê này không có chất cà phê nên uống chỉ có mùi ca phê vậy thôi.",8.0
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-van-hanh-mall,iPhone,2021-02-28 21:53:00,Highlands Coffee - Trade Center Q10,"Quán cũng rộng rãi nhưng đông, bàn ghế hơi gần nhau nên hơi nóng nè 😆😆😆
Nhân viên nhanh nhẹn 👍🏻👍🏻👍🏻
Nước uống ok 🥰
@t4_eattheworld",7.4
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-van-hanh-mall,iPhone,2021-02-26 04:32:00,Highlands Coffee - Trade Center Q10,Trà sen ngon,7.0
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-van-hanh-mall,Web,2020-09-26 16:57:00,PhinDi Kem Sữa MỚI NGON TUYỆT!,"Tới cuối tuần là auto lười, không muốn làm gì.. Nhưng được cái cho đi chơi thì cực lẹ )) mà lại là thử món cà phê PhinDi mới của Highlands Coffee nữa nên mình đến nhanh như 1 cơn gió.
Vốn thích các loại kem sữa nên mình chọn ngay PhinDi Kem Sữa ngọt ngọt béo béo kết hợp với chất Phin êm nên hương vị vừa mới lạ lại ngon tròn vị vô cùng độc đáo luôn.
Còn PhinDi Hạnh Nhân với PhinDi Choco thì đang chờ các bạn nào rủ mình đi cùng nè. Highlands Coffee đang có rất nhiều ưu đãi nên đừng quên thử PhinDi sớm sớm nha, thích thì PhinDi https://bit.ly/3joQMut
#HighlandsCoffee #PhinDi #Nhẹ_Caffeine #Chất_Phin_Êm #Ngon_Tròn_Vị #Thích_Thì_PhinDi #PhinDiHạnhNhân #PhinDiChoco #PhinDiKemSữa",10.0
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-van-hanh-mall,iPhone,2020-08-12 21:55:00,Chương Trình Free Upsize PhinDi,"Thấy fb Highlands có chương trình free upsize khi mua dòng cafe PhinDi qua cái mã trên web. Mình chụp màn hình đt mã free rồi đưa bạn ra chi nhánh Vạn Hạnh mua thử, thì tự dưng mình đọc lại bill thì như này?!

Free Upsize khi mua size thường 39.000 sẽ đc free up lên size lớn. Vậy tính ra chỉ phải chi 39.000 chứ tại sao lại là 45k?! Không biết người khác dùng mã này ra mua thì như nào. Còn mình thì hết dám tin!",4.4
